"№";"Начало";"Карта";"Активность";"Вождение";"Работа";"Резерв";"Отдых";"Суммарная работа";"Слот";"Статус";"Суточный пробег";
"1";"2017-11-15 19:00:10";"Вставлена";"Работа";"0:00:00";"0:37:44";"0:00:00";"0:00:00";"0:37:44";"Водитель";"Один водитель";"0.00 км";
"2";"2017-11-15 19:37:54";"Вставлена";"Вождение";"3:49:38";"0:00:00";"0:00:00";"0:00:00";"3:49:38";"Водитель";"Один водитель";"335 км";
"3";"2017-11-15 23:27:32";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
"4";"2017-11-15 23:29:38";"Вставлена";"Вождение";"8:08:53";"0:00:00";"0:00:00";"0:00:00";"8:08:53";"Водитель";"Один водитель";"699 км";
"5";"2017-11-16 07:38:31";"Вставлена";"Работа";"0:00:00";"0:01:03";"0:00:00";"0:00:00";"0:01:03";"Водитель";"Один водитель";"0.00 км";
"6";"2017-11-16 07:39:34";"Вставлена";"Вождение";"4:03:55";"0:00:00";"0:00:00";"0:00:00";"4:03:55";"Водитель";"Один водитель";"350 км";
"7";"2017-11-16 11:43:29";"Вставлена";"Работа";"0:00:00";"0:00:03";"0:00:00";"0:00:00";"0:00:03";"Водитель";"Один водитель";"0.00 км";
"8";"2017-11-16 11:43:32";"Вставлена";"Вождение";"4:05:59";"0:00:00";"0:00:00";"0:00:00";"4:05:59";"Водитель";"Один водитель";"350 км";
"9";"2017-11-16 15:49:31";"Вставлена";"Работа";"0:00:00";"0:01:03";"0:00:00";"0:00:00";"0:01:03";"Водитель";"Один водитель";"0.00 км";
"10";"2017-11-16 15:50:34";"Вставлена";"Вождение";"4:04:03";"0:00:00";"0:00:00";"0:00:00";"4:04:03";"Водитель";"Один водитель";"350 км";
"11";"2017-11-16 19:54:37";"Вставлена";"Работа";"0:00:00";"0:01:03";"0:00:00";"0:00:00";"0:01:03";"Водитель";"Один водитель";"0.00 км";
"12";"2017-11-16 19:55:40";"Вставлена";"Вождение";"16:19:20";"0:00:00";"0:00:00";"0:00:00";"16:19:20";"Водитель";"Один водитель";"1399 км";
"13";"2017-11-17 12:15:00";"Вставлена";"Работа";"0:00:00";"0:00:04";"0:00:00";"0:00:00";"0:00:04";"Водитель";"Один водитель";"0.00 км";
"14";"2017-11-17 12:15:04";"Вставлена";"Вождение";"4:05:41";"0:00:00";"0:00:00";"0:00:00";"4:05:41";"Водитель";"Один водитель";"350 км";
"15";"2017-11-17 16:20:45";"Вставлена";"Работа";"0:00:00";"0:01:03";"0:00:00";"0:00:00";"0:01:03";"Водитель";"Один водитель";"0.00 км";
"16";"2017-11-17 16:21:48";"Вставлена";"Вождение";"8:09:08";"0:00:00";"0:00:00";"0:00:00";"8:09:08";"Водитель";"Один водитель";"699 км";
"17";"2017-11-18 00:30:56";"Вставлена";"Работа";"0:00:00";"0:00:07";"0:00:00";"0:00:00";"0:00:07";"Водитель";"Один водитель";"0.00 км";
"18";"2017-11-18 00:31:03";"Вставлена";"Вождение";"4:05:52";"0:00:00";"0:00:00";"0:00:00";"4:05:52";"Водитель";"Один водитель";"350 км";
"19";"2017-11-18 04:36:55";"Вставлена";"Работа";"0:00:00";"0:01:03";"0:00:00";"0:00:00";"0:01:03";"Водитель";"Один водитель";"0.00 км";
"20";"2017-11-18 04:37:58";"Вставлена";"Вождение";"4:03:36";"0:00:00";"0:00:00";"0:00:00";"4:03:36";"Водитель";"Один водитель";"350 км";
"21";"2017-11-18 08:41:34";"Вставлена";"Работа";"0:00:00";"0:00:01";"0:00:00";"0:00:00";"0:00:01";"Водитель";"Один водитель";"0.00 км";
